"Species href","Species-common","Species-sci","Obs-count","Icon href","is-visuallyHidden 2","Obs-date href","Obs-date","is-visuallyHidden 3","Obs-observer","is-visuallyHidden 4","Obs-location-name","Obs-location-name href","Icon href 4","is-visuallyHidden 5","is-visuallyHidden 6"
"https://ebird.org/species/norwhe/US-OR-051","Northern Wheatear","Oenanthe oenanthe","1","[object Object]","Date:","https://ebird.org/checklist/S278678985","11 Oct 2025","Observer:","Sochetra Ly","Location:","Rooster Rock SP","https://ebird.org/region/L1454820?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/attwoo1/US-OR-051","American Three-toed Woodpecker","Picoides dorsalis","1","[object Object]","Date:","https://ebird.org/checklist/S184628412","30 Jun 2024","Observer:","Anne Tucker","Location:","Larch Mountain","https://ebird.org/region/L447386?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/winwre3/US-OR-051","Winter Wren","Troglodytes hiemalis","1","[object Object]","Date:","https://ebird.org/checklist/S153006096","24 Oct 2023","Observer:","Nick Mrvelj","Location:","Columbia Children's Arboretum","https://ebird.org/region/L1062300?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/litsti/US-OR-051","Little Stint","Calidris minuta","1","[object Object]","Date:","https://ebird.org/checklist/S146782031","7 Aug 2023","Observer:","Christie Galen","Location:","Broughton Beach, Portland US-OR (45.6004,-122.6117)","","[object Object]","Show details","Details:"
"https://ebird.org/species/grycat/US-OR-051","Gray Catbird","Dumetella carolinensis","1","[object Object]","Date:","https://ebird.org/checklist/S141747342","16 Jun 2023","Observer:","Kyle Landstra","Location:","Harbor View Park","https://ebird.org/region/L2429404?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/cocboo1/US-OR-051","Cocos Booby","Sula brewsteri","1","[object Object]","Date:","https://ebird.org/checklist/S121474536","24 Oct 2022","Observer:","Ross Barnes-Rickett","Location:","Kelley Point Park","https://ebird.org/region/L907561?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/chclon/US-OR-051","Chestnut-collared Longspur","Calcarius ornatus","1","[object Object]","Date:","https://ebird.org/checklist/S120161198","7 Oct 2022","Observer:","Andrew S. Aldrich","Location:","Rooster Rock SP","https://ebird.org/region/L1454820?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/redkno/US-OR-051","Red Knot","Calidris canutus","3","[object Object]","Date:","https://ebird.org/checklist/S109221493","7 May 2022","Observer:","Nick Mrvelj","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/lawgol/US-OR-051","Lawrence's Goldfinch","Spinus lawrencei","1","[object Object]","Date:","https://ebird.org/checklist/S107123657","6 Feb 2022","Observer:","Whitney Bailey","Location:","1 North side Mt. Scott","","[object Object]","Show details","Details:"
"https://ebird.org/species/lbbgul/US-OR-051","Lesser Black-backed Gull","Larus fuscus","1","[object Object]","Date:","https://ebird.org/checklist/S96790165","27 Oct 2021","Observer:","Nick Mrvelj","Location:","Harbor View Park","https://ebird.org/region/L2429404?rank=lrec","[object Object]","Show details","Details:"
